시군명,기준년월,월별신규가입자수(명),월별충전액(만원),월별사용액(만원)
가평군,2023-12,484.0,405100.0,214000.0
가평군,2023-11,458.0,236800.0,218700.0
가평군,2023-10,555.0,259600.0,233500.0
가평군,2023-09,782.0,311300.0,237600.0
가평군,2023-08,473.0,363100.0,239200.0
가평군,2023-07,580.0,268200.0,253600.0
가평군,2023-06,883.0,419700.0,404300.0
가평군,2023-05,871.0,506400.0,378500.0
가평군,2023-04,855.0,366800.0,405700.0
가평군,2023-03,3130.0,428400.0,360900.0
가평군,2023-02,769.0,303200.0,309200.0
가평군,2023-01,717.0,314000.0,354000.0
고양시,2023-12,3103.0,1576800.0,1299400.0
고양시,2023-11,3247.0,1438900.0,1245000.0
고양시,2023-10,4554.0,1349900.0,1169600.0
고양시,2023-09,4207.0,1050000.0,1102200.0
고양시,2023-08,3527.0,1105700.0,1198900.0
고양시,2023-07,3811.0,1468600.0,1199200.0
고양시,2023-06,2809.0,1017500.0,1171400.0
고양시,2023-05,3722.0,1100600.0,1251400.0
고양시,2023-04,4329.0,1357600.0,1236400.0
고양시,2023-03,4029.0,1337000.0,1181900.0
고양시,2023-02,4467.0,1168000.0,974600.0
고양시,2023-01,4126.0,161000.0,695100.0
과천시,2023-12,535.0,366000.0,371200.0
과천시,2023-11,602.0,333200.0,353800.0
과천시,2023-10,740.0,360400.0,373800.0
과천시,2023-09,1123.0,577600.0,353500.0
과천시,2023-08,798.0,263800.0,277100.0
과천시,2023-07,658.0,289700.0,283200.0
과천시,2023-06,520.0,274600.0,294000.0
과천시,2023-05,506.0,294000.0,314600.0
과천시,2023-04,608.0,293500.0,318100.0
과천시,2023-03,688.0,293300.0,356100.0
과천시,2023-02,819.0,262600.0,359400.0
과천시,2023-01,982.0,570400.0,419700.0
광명시,2023-12,1474.0,210000.0,545300.0
광명시,2023-11,1915.0,929800.0,989800.0
광명시,2023-10,2235.0,898300.0,1129200.0
광명시,2023-09,2486.0,1697000.0,1275600.0
광명시,2023-08,2427.0,852900.0,1011300.0
광명시,2023-07,2718.0,972100.0,1192800.0
광명시,2023-06,3154.0,1041900.0,1403900.0
광명시,2023-05,7015.0,1886100.0,1742700.0
광명시,2023-04,20221.0,1575200.0,1714100.0
광명시,2023-03,12936.0,1833300.0,1384600.0
광명시,2023-02,2690.0,957300.0,1162100.0
광명시,2023-01,2668.0,1708000.0,1254100.0
광주시,2023-12,1375.0,1293600.0,1031700.0
광주시,2023-11,1477.0,1770900.0,1773100.0
광주시,2023-10,1698.0,1241400.0,1012800.0
광주시,2023-09,1613.0,1139400.0,882800.0
광주시,2023-08,1862.0,1523900.0,1437200.0
광주시,2023-07,1852.0,1531700.0,1425400.0
광주시,2023-06,1235.0,926700.0,664200.0
광주시,2023-05,1708.0,1758200.0,1638400.0
광주시,2023-04,1991.0,1611200.0,1760300.0
광주시,2023-03,2103.0,1631700.0,1892200.0
광주시,2023-02,2503.0,1231200.0,1769000.0
광주시,2023-01,2638.0,2698200.0,2370900.0
구리시,2023-12,1240.0,599800.0,781100.0
구리시,2023-11,1257.0,439400.0,773000.0
구리시,2023-10,1679.0,1007900.0,901900.0
구리시,2023-09,1754.0,1483100.0,855700.0
구리시,2023-08,1479.0,567500.0,659700.0
구리시,2023-07,1327.0,633600.0,771200.0
구리시,2023-06,1392.0,464900.0,736700.0
구리시,2023-05,1962.0,1513200.0,930000.0
구리시,2023-04,1666.0,641500.0,726600.0
구리시,2023-03,1904.0,646800.0,790300.0
구리시,2023-02,2696.0,472600.0,591400.0
구리시,2023-01,1696.0,1104500.0,923900.0
군포시,2023-12,1332.0,867800.0,918000.0
군포시,2023-11,1337.0,812500.0,896800.0
군포시,2023-10,1716.0,827000.0,957100.0
군포시,2023-09,1995.0,1309000.0,938600.0
군포시,2023-08,1736.0,1029500.0,1112600.0
군포시,2023-07,1569.0,1214500.0,1103400.0
군포시,2023-06,1279.0,990900.0,1007000.0
군포시,2023-05,1347.0,1057500.0,1052100.0
군포시,2023-04,1667.0,1120200.0,988300.0
군포시,2023-03,1532.0,614000.0,752000.0
군포시,2023-02,2095.0,540800.0,931400.0
